pvalue_fdr_5_percent,pvalue_fdr_10_percent,pvalue_fdr_15_percent,vip_greater_1.5,vip_greater_1.3
15,11,8,15,8
32,15,11,32,11
48,27,15,36,15
56,32,27,42,25
72,36,32,48,27
74,42,36,56,32
76,48,42,57,35
79,56,48,72,36
88,57,56,74,41
91,72,57,76,42
98,74,72,79,48
118,76,74,88,49
125,79,76,91,54
130,88,79,98,56
132,91,88,108,57
145,98,91,115,66
150,105,98,118,72
159,108,105,125,74
161,115,108,127,76
193,118,115,130,79
209,125,118,132,88
211,127,125,145,91
212,130,127,150,98
228,132,130,152,105
242,145,132,159,108
249,150,145,161,113
,152,150,173,115
,159,152,180,118
,161,159,185,125
,173,161,193,127
,180,173,200,130
,185,180,206,132
,193,185,209,145
,200,192,211,147
,206,193,212,150
,209,200,228,152
,211,206,231,159
,212,209,242,161
,228,211,249,163
,231,212,263,170
,242,228,,173
,249,231,,180
,263,242,,185
,,246,,192
,,249,,193
,,253,,197
,,261,,200
,,263,,206
,,272,,209
,,,,211
,,,,212
,,,,228
,,,,231
,,,,235
,,,,242
,,,,246
,,,,249
,,,,253
,,,,255
,,,,261
,,,,263
,,,,272
